file,fault_type,severity_mil,orientation_oclock,load_hp,rpm,label,num_samples,duration_sec
B007_0.mat,Ball,7.0,,0,1796,1,122571,10.21
B007_1.mat,Ball,7.0,,1,1772,1,121410,10.12
B007_2.mat,Ball,7.0,,2,1722,1,121556,10.13
B007_3.mat,Ball,7.0,,3,1748,1,121556,10.13
B014_0.mat,Ball,14.0,,0,1796,1,121846,10.15
B014_1.mat,Ball,14.0,,1,1772,1,122136,10.18
B014_2.mat,Ball,14.0,,2,1749,1,121991,10.17
B014_3.mat,Ball,14.0,,3,1724,1,122136,10.18
B021_0.mat,Ball,21.0,,0,1796,1,121991,10.17
B021_1.mat,Ball,21.0,,1,1774,1,121701,10.14
B021_2.mat,Ball,21.0,,2,1729,1,122136,10.18
B021_3.mat,Ball,21.0,,3,1754,1,122136,10.18
IR007_0.mat,InnerRace,7.0,,0,1797,1,121265,10.11
IR007_1.mat,InnerRace,7.0,,1,1772,1,121991,10.17
IR007_2.mat,InnerRace,7.0,,2,1748,1,122136,10.18
IR007_3.mat,InnerRace,7.0,,3,1721,1,122917,10.24
IR014_0.mat,InnerRace,14.0,,0,1796,1,121846,10.15
IR014_1.mat,InnerRace,14.0,,1,1774,1,121846,10.15
IR014_2.mat,InnerRace,14.0,,2,1752,1,121846,10.15
IR014_3.mat,InnerRace,14.0,,3,1728,1,121701,10.14
IR021_0.mat,InnerRace,21.0,,0,1797,1,122136,10.18
IR021_1.mat,InnerRace,21.0,,1,1752,1,121846,10.15
IR021_2.mat,InnerRace,21.0,,2,1728,1,121991,10.17
IR021_3.mat,InnerRace,21.0,,3,1774,1,121556,10.13
Normal_0.mat,Normal,,,0,1796,0,243938,20.33
Normal_1.mat,Normal,,,1,-1,0,483903,40.33
Normal_2.mat,Normal,,,2,-1,0,483903,40.33
Normal_3.mat,Normal,,,3,1725,0,485643,40.47
OR0076_0.mat,OuterRace,7.0,6.0,0,1796,1,121991,10.17
OR0076_1.mat,OuterRace,7.0,6.0,1,1773,1,122426,10.2
OR0076_2.mat,OuterRace,7.0,6.0,2,1750,1,121410,10.12
OR0076_3.mat,OuterRace,7.0,6.0,3,1725,1,122571,10.21
OR0146_0.mat,OuterRace,14.0,6.0,0,1796,1,121846,10.15
OR0146_1.mat,OuterRace,14.0,6.0,1,1772,1,122136,10.18
OR0146_2.mat,OuterRace,14.0,6.0,2,1723,1,121991,10.17
OR0146_3.mat,OuterRace,14.0,6.0,3,1749,1,121846,10.15
OR0216_0.mat,OuterRace,21.0,6.0,0,1796,1,122426,10.2
OR0216_1.mat,OuterRace,21.0,6.0,1,1771,1,121991,10.17
OR0216_2.mat,OuterRace,21.0,6.0,2,1748,1,122281,10.19
OR0216_3.mat,OuterRace,21.0,6.0,3,1721,1,121991,10.17
